TFs;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;
TAL1;2,746563567;1,539526589;1,359857938;1,132123104;0,257582683;NA;
CYP2C8;2,119792301;1,525356477;1,386140384;1,100434339;0,271142924;NA;
BMERB1;7,020758508;1,524369594;0,652630693;2,335730775;0,019505278;0,107838207;
HSD17B14;4,003235361;1,524169298;0,849886437;1,793379953;0,072912191;NA;
NACA2;1,450636349;1,521962649;1,573942212;0,966974923;0,33355657;NA;
PRKAG2;3,39382049;1,521476978;0,933018464;1,630704039;0,102952784;NA;
P2RX1;2,185418587;1,514070737;1,464217139;1,034047954;0,301113746;NA;
PTHLH;5,234225952;1,512673894;0,938768573;1,611338445;0,107105976;0,328120681;
SLC25A47;10,47141504;1,510025161;0,652445003;2,314409878;0,02064525;0,111917541;
SH2D5;114,2809398;1,505101489;0,196500046;7,659547767;1,87E-14;4,97E-12;
ABO;1,536337146;1,504373603;1,536649748;0,97899577;0,32758207;NA;
CP;3792,887446;1,500722465;0,318401979;4,713295032;2,44E-06;0,000101032;
KCNQ4;2,116526738;1,500037569;1,251271168;1,198810942;0,230601467;NA;
MAP2K6;7,293335645;-1,500221294;0,680937507;-2,203170304;0,027582748;0,137308263;
CLDN16;1,756498661;-1,500700599;1,215204322;-1,234936851;0,216854007;NA;
ZNF781;19,5795312;-1,500866696;0,484198527;-3,099692819;0,001937214;0,020664745;
ACVR1C;16,45893838;-1,50611536;0,508304831;-2,963016028;0,003046407;0,028737509;
TRIM17;2,595431837;-1,507357139;1,181427649;-1,275877655;0,201998771;NA;
LTB;2,39574589;-1,513485311;1,072595702;-1,411049204;0,158230106;NA;
TUSC3;11,40218261;-1,526267568;0,565307163;-2,699890727;0,006936225;0,051824903;
PCDHGA4;1,844752338;-1,531044042;1,248832277;-1,225980518;0,220206007;NA;
CAMKV;1,364234865;-1,54809085;1,86755398;-0,82894035;0,407138161;NA;
MOV10L1;2,468619477;-1,548979184;1,233309998;-1,255952831;0,209133072;NA;
GUCY2C;2,064780453;-1,552962723;1,398784559;-1,110222953;0,266902964;NA;
BHMT;27,02998691;-1,553086282;0,361301448;-4,298588587;1,72E-05;0,000506262;
EFR3B;50,70463328;-1,554985773;0,317305525;-4,900594695;9,55E-07;4,50E-05;
MIOX;1,792734947;-1,561863697;1,655169422;-0,943627689;0,345359938;NA;
CCDC87;6,689392874;-1,563189119;0,840311738;-1,860249059;0,062850297;0,235227609;
BPIFB6;28,67226592;-1,57309551;0,328376357;-4,790526103;1,66E-06;7,17E-05;
OSBPL1A;1,991707284;-1,575853258;1,401842377;-1,124130133;0,260957824;NA;
MIXL1;402,3131168;-1,58710771;0,252293462;-6,290720723;3,16E-10;4,12E-08;
SIGLEC10;1,209296258;-1,595228462;1,83963187;-0,86714548;0,385862304;NA;
ERP27;72,27630422;-1,598255253;0,279276056;-5,722850985;1,05E-08;9,10E-07;
TNNC2;2,981236555;-1,599703324;1,084097367;-1,475608532;0,140049013;NA;
FGF11;2,828901539;-1,601136013;1,238254957;-1,293058432;0,19599085;NA;
IL12RB2;1,258402903;-1,601347956;1,95532157;-0,818969105;0,412804041;NA;
ST8SIA5;3,601100371;-1,604925179;1,108739748;-1,447522001;0,147750779;NA;
AKAP6;18,93201335;-1,612132835;0,410464901;-3,927577806;8,58E-05;0,001840239;
ANKRD44;4,632189442;-1,614386061;0,865127034;-1,866068215;0,062031822;NA;
ASIP;4,770735004;-1,616186086;0,927214606;-1,743055033;0,081324002;0,275645305;
GPR39;5,629872226;-1,623979567;0,695159438;-2,336125323;0,019484711;0,107773157;
NSD1;1,853624972;-1,625588702;1,664089464;-0,976863767;0,328636602;NA;
TRAM1L1;1,398728649;-1,638421909;1,558410395;-1,051341749;0,293101659;NA;
HTRA1;3,955219344;-1,645145567;0,933778606;-1,761815442;0,078100485;NA;
KCND1;14,41554493;-1,647960765;0,504831127;-3,26438026;0,001097038;0,01327503;
OAS2;3,232663609;-1,65188407;0,918332721;-1,798786031;0,072052534;NA;
ZBTB32;2,816250079;-1,65655372;1,311864202;-1,262747865;0,206679806;NA;
LRRC49;5,868448724;-1,659380416;0,750035195;-2,2124034;0,026938804;0,13526098;
NPSR1;2,268493473;-1,665145019;1,176949149;-1,414797759;0,157127801;NA;
PIANP;2,470940563;-1,666868995;1,187330411;-1,403879644;0,160354692;NA;
PKD1L1;1,750829187;-1,67178843;1,429075162;-1,1698394;0,242065605;NA;
CLDN19;70,0738155;-1,671913354;0,37055636;-4,511900304;6,42E-06;0,000221633;
KCNK7;1,614422965;-1,672304075;1,521415816;-1,099176213;0,271691212;NA;
DYNLT4;1,80644165;-1,672946122;1,335479972;-1,252692782;0,210317534;NA;
SESN3;45,42775206;-1,683840676;0,435067699;-3,870295769;0,000108703;0,002229785;
FAM83E;2,000561138;-1,691961032;1,204350335;-1,404874464;0,160058611;NA;
GNAO1;2,49846969;-1,694602151;1,112641209;-1,523044569;0,127747555;NA;
VGF;1,595639765;-1,701046312;1,458569829;-1,166242628;0,243516362;NA;
ARL14;1,486741664;-1,705092749;1,596306831;-1,068148501;0,285453531;NA;
RAB33A;1,876660432;-1,723607156;1,394246351;-1,236228558;0,216373618;NA;
FAM229B;30,40892898;-1,726531163;0,476867101;-3,620570928;0,000293954;0,004749019;
TCP10L3;4,939436702;-1,73879317;0,754982234;-2,303091507;0,021273695;0,11455708;
ALOX5AP;3,039918404;-1,761085703;1,058601134;-1,66359703;0,096192986;NA;
GFPT2;3,36990056;-1,765623595;1,045064993;-1,689486881;0,091126164;NA;
FAT4;17,52932193;-1,765683803;0,55086401;-3,205298896;0,001349223;0,015514163;
ODAD3;2,944024581;-1,773872701;1,434770275;-1,236346147;0,216329925;NA;
DYSF;8,346000353;-1,778620114;0,66135998;-2,689337376;0,007159402;0,052911309;
PCDHB16;3,143047427;-1,792695307;1,178385308;-1,521315053;0,128180795;NA;
PTGER4;1,070651642;-1,805160697;1,816239634;-0,993900069;0,320271521;NA;
EFCAB10;4,702970883;-1,805475846;0,800456876;-2,255556669;0,024098409;0,124940357;
TNNT2;10,28604662;-1,808766677;0,709474055;-2,549447247;0,010789383;0,070921518;
CXCR3;5,913984262;-1,808976784;0,789854762;-2,290265085;0,022005955;0,117152609;CXCR7
TRPV3;16,36959048;-1,812301034;0,46501307;-3,897312038;9,73E-05;0,002036107;
OGFRL1;14,40291087;-1,812520197;0,506113292;-3,581253891;0,000341949;0,005348032;
DDX60;1,86224431;-1,820137524;1,888433557;-0,963834558;0,335128878;NA;
LACTBL1;3,52088873;-1,821966589;0,982751438;-1,853944465;0,063747106;NA;
LYRM9;2,162081807;-1,826002918;1,118950809;-1,631888466;0,102702984;NA;
EGF;2,433147519;-1,837673302;1,144911855;-1,605078411;0,10847655;NA;
TUBAL3;2,732698146;-1,848812924;0,994040522;-1,859896939;0,062900108;NA;
GLIPR2;1,437188133;-1,852279821;1,441318083;-1,285129108;0,198747172;NA;
FAM107A;3,932472355;-1,854891056;1,246900959;-1,487600955;0,136856162;NA;
H2BC18;1,318163797;-1,864414049;1,514007366;-1,231443183;0,218157155;NA;
TRABD2A;2,163920931;-1,865819761;1,319516771;-1,414017466;0,157356774;NA;
BACH2;3,3383113;-1,869153749;1,07768579;-1,734414396;0,082844583;NA;
ARAP2;4,125240251;-1,879212474;0,95242998;-1,973071527;0,048487414;NA;
CUBN;0,967408786;-1,887399649;2,099054303;-0,899166661;0,368563895;NA;
DOCK11;32,12260932;-1,895442253;0,472006728;-4,015710242;5,93E-05;0,001377199;
ANGPT2;1,703315358;-1,904388906;1,447294849;-1,315826494;0,188232285;NA;
CDH23;1,806292821;-1,906508401;1,662012813;-1,147108125;0,251336936;NA;
ARHGEF10;2,019171302;-1,907769767;1,366559233;-1,39603884;0,162702799;NA;
OASL;1,883927323;-1,910477781;1,355155811;-1,409784591;0,158603298;NA;
MYO15A;0,967751614;-1,920190675;1,933046043;-0,993349683;0,320539573;NA;
STX11;1,487643527;-1,931865427;1,263396848;-1,529104201;0,126238614;NA;
BCL2A1;2,05136486;-1,93972716;1,440317588;-1,346735731;0,17806536;NA;
SLC9A2;0,961733491;-1,945647391;2,264950122;-0,859024387;0,390327061;NA;
RIMKLB;2,046963634;-1,945737835;1,402554957;-1,387280995;0,165356096;NA;
CCDC113;2,148979986;-1,966915994;1,177849027;-1,669921992;0,094934799;NA;
RDH16;1,599081723;-1,974103879;1,334255695;-1,479554396;0,138992204;NA;
FA2H;2,706291977;-1,99762633;1,237024454;-1,614864059;0,106340137;NA;
SSTR1;2,850900353;-1,99771886;1,019755634;-1,959017232;0,050110769;NA;
CCDC74A;1,801467933;-2,032035587;1,438257888;-1,412845084;0,157701279;NA;
FAM182B;2,03922542;-2,041477537;1,243571329;-1,641624802;0,100667784;NA;
TCAF2;4,214523585;-2,052202894;0,991238083;-2,070343068;0,038420229;NA;
ZNF804A;2,748566726;-2,055812559;1,114017405;-1,845404344;0,064978742;NA;
ESR2;1,715898301;-2,061337296;1,437028972;-1,434443798;0,151445657;NA;
PARD3B;9,589523193;-2,064021217;0,742339023;-2,780429363;0,005428707;0,043513439;
CD226;1,591994192;-2,076069646;1,457062091;-1,424832654;0,154205581;NA;
RBP2;8,674947612;-2,095540512;0,61626091;-3,400411218;0,000672846;0,009124773;
FAM181A;1,850018249;-2,126685138;1,467915693;-1,448778801;0,147399366;NA;
EFNB2;25,34273655;-2,144515122;0,38249464;-5,606654053;2,06E-08;1,62E-06;
HAP1;4,434382247;-2,150618962;0,90417617;-2,378539751;0,017381363;NA;
SLC26A3;8,730832826;-2,161253411;0,676454269;-3,194973424;0,001398437;0,015989973;
TSPAN12;4,728546393;-2,166612043;0,849799392;-2,549557065;0,010785986;0,070921518;
IL18R1;2,372447074;-2,193386266;1,514807744;-1,447963462;0,147627269;NA;
VEGFD;2,706184828;-2,247988668;1,369762798;-1,641151791;0,10076591;NA;
BIRC7;2,038190968;-2,251771591;1,539557813;-1,46260931;0,143574314;NA;
GIMAP2;4,272213855;-2,255810415;0,944871514;-2,387425572;0,016966838;NA;
SHOX2;2,026741396;-2,280076935;1,49284632;-1,527335336;0,126677647;NA;
SLIT2;1,396926639;-2,290185902;1,453755536;-1,575358336;0,115173756;NA;
ATP8B4;2,021346303;-2,301190607;1,536931621;-1,497262842;0,134324879;NA;
COL4A5;3,281966318;-2,312036753;1,064942053;-2,171044655;0,029927797;NA;COL4A1
IYD;3,707863329;-2,325308848;0,909643147;-2,556286887;0,010579585;NA;
FGD5;3,064619056;-2,374638488;1,287418388;-1,844496326;0,065110841;NA;
DSEL;3,504782802;-2,387105654;0,919361639;-2,59648168;0,009418393;NA;
LDB3;1,506594225;-2,456102909;1,574694495;-1,559732962;0,118822999;NA;
GSTA2;1,618102644;-2,46204601;1,57318478;-1,56500752;0,117581146;NA;
CD274;2,353088843;-2,462253226;1,31517627;-1,872184955;0,06118102;NA;
TENT5C;1,175144505;-2,476359278;2,36104539;-1,048840182;0,29425168;NA;
XKRX;8,781647466;-2,502225076;0,665546074;-3,759657179;0,000170146;0,00313797;
RASL10A;1,022492394;-2,510333811;1,805329026;-1,390513183;0,164373099;NA;
RHBDL3;2,371134116;-2,515981209;1,278422659;-1,968035526;0,04906395;NA;
TSPAN7;1,981396493;-2,525164023;1,593076791;-1,585086191;0,112946753;NA;
KIRREL3;1,632579264;-2,545700253;1,617517395;-1,573831763;0,115526349;NA;
FCRLB;1,844552234;-2,552623824;1,563178202;-1,632970458;0,10247521;NA;
JCAD;4,081883968;-2,566504346;0,974805505;-2,632837354;0,008467489;NA;
SH3TC2;1,273068847;-2,587235844;1,890988101;-1,368192556;0,171251811;NA;
UNC79;5,443241731;-2,589653347;0,987578752;-2,622224651;0,008735783;0,061319395;
ABCA6;2,055451154;-2,677864431;1,31306906;-2,039393444;0,041410776;NA;
HRCT1;2,078385553;-2,711970891;1,41265704;-1,919765954;0,054887469;NA;
LAMP3;4,866967618;-2,713813846;1,085963386;-2,498992029;0,012454711;0,078659306;
RTL9;2,532026016;-2,733341591;1,414870467;-1,931867018;0,053375922;NA;
ARNT2;4,951335167;-2,736601509;0,987523821;-2,771175187;0,005585437;0,044357495;
MPDZ;3,534889135;-2,739038567;1,216672579;-2,251253635;0,024369478;NA;
ACKR4;1,80953349;-2,799192421;1,701838137;-1,64480532;0,100009965;NA;
PEX11G;1,682723795;-2,816258309;1,453263645;-1,937885337;0,052637213;NA;
PRSS57;1,185968019;-2,9356152;1,733995401;-1,692977501;0,09045975;NA;
AKAIN1;0,87249951;-2,937494421;2,245254397;-1,308312512;0,190767333;NA;
SP8;1,418185414;-2,972287929;1,598433302;-1,859500753;0,062956193;NA;
UST;1,587967225;-2,984485239;1,572769034;-1,897599186;0,057748902;NA;
SLCO6A1;1,517284483;-3,014637149;1,61055346;-1,871801976;0,061234005;NA;
DPYSL3;1,769719895;-3,094593072;1,693108148;-1,827758655;0,067585781;NA;
ARMH4;7,932423616;-3,136960749;0,8635831;-3,63249437;0,000280695;0,004589302;
GPR37L1;1,72299349;-3,147366993;1,609697009;-1,955254297;0,050553063;NA;
CCDC141;1,889305668;-3,257430837;1,667181213;-1,953855293;0,050718333;NA;
ACE2;4,883240233;-3,32491966;1,19675649;-2,778275855;0,00546482;0,043739992;
OLFM4;0,98039559;-3,343165126;2,457540622;-1,36037024;0,173712791;NA;
CHRNA2;1,315138408;-3,506705334;1,677144994;-2,090877858;0,036539014;NA;
SYCP2;1,636488147;-3,524541193;1,628330404;-2,164512303;0,030425053;NA;
RASA4;2,115540357;-3,660384345;1,500029667;-2,440207967;0,014678809;NA;
CLEC10A;1,09577361;-3,748037186;2,210844271;-1,695296786;0,090019134;NA;
WIPF3;2,48263485;-3,960979788;1,512422607;-2,618963623;0,008819735;NA;
SLC19A3;1,236584705;-4,091289818;1,618940576;-2,527140204;0,011499559;NA;
LEF1;1,401524305;-4,149895279;1,998324446;-2,076687441;0,037830416;NA;
AGXT2;0,845779691;-4,250067883;2,138960916;-1,986977813;0,046924856;NA;
OSBPL6;1,600779072;-4,361851616;1,782084538;-2,447612065;0,01438064;NA;
FYN;6,733329689;-4,567047936;1,130523865;-4,039762519;5,35E-05;0,001268763;
